time,title,company,county,distinct,exeperience,education,wage,url
2023/4/23,工研院綠能所_資料分析工程師(H100),工研院 _財團法人工業技術研究院,台南市,歸仁區,經歷不拘,碩士,50000,https://www.104.com.tw/job/7mnmc?jobsource=jolist_a_relevance
2023/4/23,TA3826 資料分析工程師,致伸科技股份有限公司,台北市,內湖區,5年以上,大學,45000,https://www.104.com.tw/job/7b5yn?jobsource=jolist_a_relevance
2023/4/23,【台中】資料分析管理師,今網智慧科技股份有限公司,台中市,北區,經歷不拘,大學,40000,https://www.104.com.tw/job/7efcf?jobsource=jolist_a_relevance
2023/4/23,【總行單位】資料分析師(新人),玉山銀行_玉山商業銀行股份有限公司,台北市,松山區,經歷不拘,大學,45000,https://www.104.com.tw/job/6tfde?jobsource=jolist_a_relevance
2023/4/23,【AI Team】資料分析師 Data Analyst,愛卡拉互動媒體股份有限公司,台北市,信義區,1年以上,大學,45000,https://www.104.com.tw/job/7dqrj?jobsource=jolist_a_relevance
2023/4/23,統計及資料分析員(教職人力資料庫計畫),國立臺灣師範大學_教育政策與行政研究所,台北市,大安區,經歷不拘,碩士,40500,https://www.104.com.tw/job/71jcx?jobsource=jolist_a_relevance
2023/4/23,資料分析專員,資通電腦股份有限公司,台北市,中山區,經歷不拘,大學,46500,https://www.104.com.tw/job/7ayzx?jobsource=jolist_a_relevance
2023/4/23,資料分析師-數據治理【全家便利商店關係企業】,精藤股份有限公司,台北市,中山區,3年以上,專科,45000,https://www.104.com.tw/job/7f5gu?jobsource=jolist_a_relevance
2023/4/23,資料分析工程師,上頂醫學影像科技股份有限公司,台北市,中山區,經歷不拘,碩士,45000,https://www.104.com.tw/job/68kiw?jobsource=jolist_a_relevance
2023/4/23,REQ_23033598 AW0612 資料分析師 - 資料治理,啟科技股份有限公司,新竹市,,經歷不拘,碩士,45000,https://www.104.com.tw/job/7y80b?jobsource=jolist_a_relevance
2023/4/23,資料分析師 Data Analyst (台北/Taipei),凱鈿行動科技股份有限公司,台北市,中山區,1年以上,大學,45000,https://www.104.com.tw/job/7shsx?jobsource=jolist_a_relevance
2023/4/23,資料分析與AI演算法工程師_台達智能電網事業部(台北),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,台北市,內湖區,3年以上,大學,45000,https://www.104.com.tw/job/7wr3l?jobsource=jolist_a_relevance
2023/4/23,資料分析工程師,達暉資訊有限公司,台北市,大安區,2年以上,專科,55000,https://www.104.com.tw/job/7rfgz?jobsource=jolist_a_relevance
2023/4/23,資料分析應用工程師(PS150),資拓宏宇國際股份有限公司,台北市,松山區,2年以上,大學,45000,https://www.104.com.tw/job/47adn?jobsource=jolist_a_relevance
